Transaction_ID,Customer_ID,Category,Units_Sold,Unit_Price,Date,Revenue,Cost,Profit
239,4419,Clothing,2,1655,2025-10-20,3310,2258.0063981326102,1051.9936018673898
240,2496,Furniture,3,98,2025-07-04,294,202.52521818697727,91.47478181302273
241,4302,Furniture,4,168,2025-03-20,672,560.6553109866545,111.34468901334549
242,3237,Electronics,8,901,2025-07-04,7208,4648.748444404369,2559.2515555956306
243,4296,Groceries,1,1475,2025-04-09,1475,1240.9636884098684,234.03631159013162
244,2408,Electronics,9,517,2025-06-06,4653,3976.1900315159896,676.8099684840104
245,2400,Clothing,5,1881,2025-02-14,9405,5789.137369935657,3615.8626300643427
246,2306,Furniture,4,1603,2025-03-28,6412,5583.142904219285,828.8570957807151
247,3680,Clothing,8,96,2025-11-25,768,442.55874332880614,325.44125667119386
248,3675,Groceries,9,50,2025-01-02,450,373.7795780521243,76.2204219478757
249,1972,Groceries,3,210,2025-05-26,630,357.5188420307982,272.4811579692018
250,2768,Sports,4,1368,2025-09-04,5472,4306.940722032529,1165.0592779674707
251,2282,Clothing,1,673,2025-06-06,673,599.1362279872742,73.8637720127258
252,4430,Electronics,3,72,2025-10-23,216,114.57721218935902,101.42278781064098
253,1709,Clothing,5,1829,2025-01-03,9145,5290.734690846365,3854.265309153635
254,2479,Furniture,8,1343,2025-08-13,10744,6889.306386653826,3854.693613346174
255,2434,Groceries,1,525,2025-11-10,525,338.1264189024183,186.87358109758168
256,1648,Groceries,1,814,2025-11-23,814,466.30762684791523,347.69237315208477
257,1317,Clothing,3,1366,2025-12-16,4098,2863.479329762001,1234.5206702379992
258,4748,Clothing,9,1656,2025-08-07,14904,12165.9864147643,2738.0135852357
259,4296,Clothing,9,1661,2025-06-15,14949,12273.985440327444,2675.014559672556
260,4890,Furniture,1,548,2025-06-06,548,376.1926370887643,171.8073629112357
261,2257,Furniture,4,1750,2025-06-08,7000,4377.838496281649,2622.161503718351
262,1683,Electronics,8,536,2025-05-06,4288,2558.514500286206,1729.485499713794
263,1663,Clothing,2,1485,2025-07-12,2970,2335.0361140879313,634.9638859120687
264,2998,Electronics,4,428,2025-12-27,1712,914.3747884337519,797.6252115662481
265,4898,Sports,7,824,2025-10-26,5768,4142.1191208963155,1625.8808791036845
266,4445,Furniture,7,1694,2025-06-04,11858,8497.251157997258,3360.748842002742
267,4743,Groceries,5,938,2025-06-04,4690,2556.563013584754,2133.436986415246
268,2631,Sports,7,741,2025-04-28,5187,3571.1889512513553,1615.8110487486447
269,2495,Groceries,6,561,2025-11-21,3366,2019.2693750340227,1346.7306249659773
270,4304,Sports,2,1730,2025-01-03,3460,1960.4852117516946,1499.5147882483054
271,4763,Electronics,9,1775,2025-06-06,15975,8511.747982349782,7463.2520176502185
272,2136,Electronics,5,1238,2025-12-25,6190,3573.6873754241947,2616.3126245758053
273,2853,Furniture,2,63,2025-05-21,126,95.50319541699474,30.496804583005257
274,2520,Groceries,6,1564,2025-12-19,9384,7429.64432465913,1954.3556753408702
275,3489,Sports,5,293,2025-03-01,1465,866.4281364962039,598.5718635037961
276,1563,Clothing,2,1508,2025-03-25,3016,2200.1818045184586,815.8181954815414
277,2291,Clothing,7,1896,2025-11-19,13272,8608.730988755717,4663.269011244283
278,4581,Furniture,2,1642,2025-07-17,3284,2353.419233991499,930.5807660085011
279,4878,Groceries,7,1077,2025-12-29,7539,4511.931988478281,3027.068011521719
280,4457,Clothing,6,263,2025-12-03,1578,817.996619052746,760.003380947254
281,4458,Furniture,4,98,2025-10-30,392,247.2498045164046,144.7501954835954
282,4184,Furniture,4,1154,2025-04-07,4616,2604.681429148932,2011.3185708510682
283,2636,Groceries,6,1620,2025-06-10,9720,7714.835521024926,2005.1644789750744
284,4696,Clothing,9,927,2025-01-06,8343,6608.942313371254,1734.0576866287456
285,3999,Clothing,6,230,2025-11-30,1380,730.143630137716,649.856369862284
286,4152,Clothing,6,721,2025-11-22,4326,2849.50534091191,1476.49465908809
287,1698,Electronics,1,919,2025-11-19,919,493.63624738537925,425.36375261462075
288,3160,Clothing,5,1450,2025-12-23,7250,5698.0362145741465,1551.9637854258535
289,1001,Sports,1,1552,2025-10-07,1552,787.3899261287692,764.6100738712308
290,1641,Electronics,9,266,2025-07-24,2394,1616.4502085550278,777.5497914449722
291,3267,Electronics,4,1339,2025-11-17,5356,3004.551532989533,2351.448467010467
292,2589,Electronics,2,812,2025-08-31,1624,1243.8981001970556,380.10189980294444
293,1854,Electronics,9,674,2025-06-30,6066,3552.150866643317,2513.849133356683
294,2759,Furniture,6,239,2025-05-08,1434,950.2644245567141,483.73557544328594
295,4296,Sports,3,51,2025-04-10,153,76.81017227349994,76.18982772650006
296,3432,Groceries,2,1648,2025-10-15,3296,2951.7858740521615,344.2141259478385
297,4474,Clothing,6,1548,2025-03-10,9288,7445.60976683729,1842.3902331627096
298,2661,Electronics,6,509,2025-11-23,3054,1727.8358771945675,1326.1641228054325
299,2153,Groceries,9,681,2025-08-30,6129,4152.40127555973,1976.5987244402704
300,2076,Furniture,5,806,2025-02-14,4030,2818.1736660358956,1211.8263339641044
301,2707,Groceries,9,1473,2025-02-01,13257,7826.804270269946,5430.195729730054
302,3777,Electronics,5,833,2025-01-28,4165,2224.041928412659,1940.9580715873408
303,2695,Sports,2,180,2025-12-19,360,262.0034887942293,97.99651120577067
304,2733,Groceries,1,1290,2025-08-26,1290,1075.9195540986361,214.08044590136387
305,2439,Electronics,9,579,2025-09-27,5211,3797.385910961541,1413.614089038459
306,3294,Electronics,7,1304,2025-05-21,9128,6867.071412106601,2260.928587893399
307,1835,Clothing,3,1883,2025-06-17,5649,4159.377105235388,1489.6228947646123
308,4510,Clothing,6,281,2025-04-23,1686,1150.8295282890358,535.1704717109642
309,1202,Sports,4,465,2025-04-23,1860,1039.5886896237603,820.4113103762397
310,4255,Clothing,9,1197,2025-10-13,10773,6258.542525765439,4514.457474234561
311,1122,Sports,2,611,2025-02-03,1222,771.2079419064294,450.79205809357063
312,1400,Furniture,4,226,2025-02-15,904,558.3508783168451,345.64912168315493
313,1766,Furniture,1,1588,2025-01-01,1588,1125.3172297432764,462.68277025672364
314,1293,Clothing,7,1145,2025-07-06,8015,5356.626114297296,2658.373885702704
315,3327,Furniture,4,1445,2025-06-19,5780,4362.474982526921,1417.525017473079
316,4908,Groceries,5,174,2025-08-30,870,727.4353678982893,142.56463210171069
317,3931,Groceries,1,432,2025-10-02,432,224.48639121121812,207.51360878878188
318,4681,Groceries,2,1078,2025-01-23,2156,1476.7788924751937,679.2211075248063
319,1197,Furniture,4,234,2025-03-07,936,548.7381026723991,387.2618973276009
320,4029,Groceries,2,133,2025-03-27,266,229.84801860553065,36.151981394469345
321,2930,Sports,1,989,2025-07-19,989,709.8845671654996,279.11543283450044
322,4582,Electronics,1,714,2025-03-28,714,609.5237652726076,104.47623472739235
323,3799,Clothing,6,759,2025-11-24,4554,3498.069533089625,1055.930466910375
324,3191,Sports,2,781,2025-12-11,1562,865.5135213340102,696.4864786659898
325,1608,Groceries,3,1096,2025-08-15,3288,2757.684515161479,530.3154848385211
326,4272,Electronics,5,1033,2025-04-21,5165,3238.344840831645,1926.655159168355
327,2147,Clothing,3,955,2025-05-19,2865,2284.6159043214057,580.3840956785943
328,1186,Sports,6,699,2025-10-24,4194,2950.0031725689214,1243.9968274310786
329,4397,Clothing,7,1234,2025-08-23,8638,6841.982385114277,1796.0176148857227
330,3511,Furniture,6,1146,2025-09-19,6876,4888.999638900104,1987.0003610998956
331,4420,Groceries,2,1987,2025-12-28,3974,3462.0703811801286,511.9296188198714
332,2794,Sports,9,1780,2025-10-28,16020,11278.876133498754,4741.123866501246
333,1659,Sports,2,1170,2025-07-28,2340,1226.8198649495837,1113.1801350504163
334,3811,Electronics,6,1659,2025-08-16,9954,6777.600797542239,3176.399202457761
335,4002,Electronics,9,588,2025-07-04,5292,4693.920062147871,598.0799378521288
336,2955,Electronics,9,212,2025-03-23,1908,1556.6222776070517,351.3777223929483
337,3450,Clothing,2,111,2025-06-10,222,167.08116755487126,54.91883244512874
338,2369,Groceries,9,451,2025-07-08,4059,2275.1532690481076,1783.8467309518924
339,2986,Clothing,8,312,2025-01-18,2496,1430.8646794347069,1065.1353205652931
340,2534,Groceries,7,248,2025-01-07,1736,1369.6007567476993,366.3992432523007
341,1146,Sports,8,1287,2025-10-12,10296,8157.153670715971,2138.846329284029
